it w0 w1 ww1 w2 ww2 w10 w11 ww11 w12 ww12 w20 w21 ww21 w22 ww22 e
92 -1.0665664827327994 1.3144554057147624 -1.2324176945320953 1.301453847848014 -1.2202275891075975 0.9162889716394287 -0.9287628226608555 -1.0136134466391193 0 0.0 0.9125115307746796 0 0.0 -0.922270956545051 -1.010695125969626 0.1192859639885802
93 -1.0841657435985894 1.33042448605064 -1.2271412317775903 1.3169330518065345 -1.2146971619259415 0.9274321048586874 -0.9311706716506161 -1.0040310948611146 0 0.0 0.9235264682118491 0 0.0 -0.9245219641752288 -1.0010779290011116 0.11910907592626974
94 -1.1018453658500695 1.3463503499733218 -1.2219049893036649 1.3323570574495722 -1.2092051196509446 0.9385566525338395 -0.9335706215075443 -0.9946875545415035 0 0.0 0.9345211151425079 0 0.0 -0.9267628230405557 -0.9916981093565027 0.11893174987289372
95 -1.1196037447070808 1.3622317118344605 -1.216708784937887 1.347724507414639 -1.2037513395127495 0.9496623054038545 -0.9359625693050888 -0.9855740972124404 0 0.0 0.9454952110399819 0 0.0 -0.928993450493776 -0.9825469654911789 0.11875401388103442
96 -1.1374392695998035 1.3780673008747046 -1.2115524210444781 1.3630340652278548 -1.1983356840734227 0.9607487649153005 -0.9383464145887856 -0.9766824052815828 0 0.0 0.9564485081325024 0 0.0 -0.9312137684815442 -0.9736162067937878 0.11857589592859118
97 -1.1553503249180543 1.393855862062673 -1.2064356862162438 1.3782844162781034 -1.1929580029121134 0.971815743320495 -0.9407220598012169 -0.9680045484619982 0 0.0 0.9673807714671305 0 0.0 -0.9334237039891167 -0.9648979300813324 0.11839742388980906
98 -1.1733352907723573 1.4095961569204167 -1.2013583568193358 1.3934742687702915 -1.18761813415927 0.9828629637691715 -0.9430894106689265 -0.9595329617999667 0 0.0 0.9782917789636804 0 0.0 -0.9356231894436933 -0.9563845976859924 0.11821862550670327
99 -1.1913925437648116 1.4252869643340849 -1.196320198404268 1.4086023546561055 -1.1823159058935426 0.9938901603930443 -0.9454483765541124 -0.9512604251763845 0 0.0 0.989181321458088 0 0.0 -0.937812163079131 -0.9480690170097055 0.11803952836092617
100 -1.2095204577678285 1.4409270813485604 -1.1913209669952942 1.4236674305407087 -1.1770511374136563 1.0048970783827298 -0.9477988707736478 -0.9431800441683289 0 0.0 1.0000492027347476 0 0.0 -0.9399905692644883 -0.9399443214333633 0.11786015984612432
101 -1.2277174047088553 1.4565153239448358 -1.1863604102690377 1.4386682785638711 -1.171823640396335 1.0158834740565241 -0.9501408108877429 -0.9352852321671656 0 0.0 1.010895239547403 0 0.0 -0.9421583587986253 -0.9320039524772592 0.11768054714083293
102 -1.2459817553592745 1.4720505277989675 -1.1814382686321976 1.4536037072540846 -1.1666332199502738 1.0268491149206047 -0.9524741189603467 -0.9275696936584411 0 0.0 1.0217192616282424 0 0.0 -0.9443154891728797 -0.9242416431182772 0.11750071718195278
103 -1.2643118801257045 1.4875315490214565 -1.1765542762071952 1.4684725523542697 -1.1614796755751962 1.0377937797202592 -0.9547987217931936 -0.9200274085768396 0 0.0 1.0325211116849133 0 0.0 -0.9464619248036592 -0.9166514021773182 0.1173206966388543
104 -1.2827061498419983 1.502957264875953 -1.1717081617337572 1.4832736776177458 -1.1563628020341628 1.0487172584818087 -0.9571145511352341 -0.9126526176567509 0 0.0 1.0433006453852227 0 0.0 -0.9485976372366224 -0.9092274996977188 0.11714051188815189
105 -1.3011629365602952 1.518326574476223 -1.1668996493936519 1.498005975573198 -1.1512823901465175 1.0596193525449238 -0.9594215438690337 -0.9054398087056058 0 0.0 1.0540577313293507 0 0.0 -0.9507226053239853 -0.9019644532420044 0.11696018898918988
